Unnamed: 0,ID,prompt,response,label,augment_type
,5f4405040e78906e8dcf7b47,help people with mobility impairments navigate stairs.,renlace staHrs wIth a incline ramp to make going up and down more accessible,1,mispell
,60e9ea97d19e613e60a994da,help people with speech impairments communicate effectively.,quintuplicating again,1,random multi word
,6140e59fbc06c760876b91bf,reduce the risk of accidents caused by distracted driving.,TraffiF lighjs wiGh mBre visial presevce,1,mispell
,5f2ed914a87abd287ed66ddf,reduce the risk of accidents caused by distracted driving.,chop down trees,1,didnt understand different dataset
,5e97319f86d5211e50b9fe92,increase the use of renewable energy sources.,uach hoJse mujt hLve solar collector,1,mispell
,60149ad4dc001b4d6d233fbc,reduce traffic congestion in mega cities.,Onl,1,strip
,644cdee223c4b93bf46c7301,improve the efficiency of public transportation systems.,Keeping food when cutting,1,didnt understand different dataset
8419.0,63cd7b78fff71624a85b294f,reduce traffic congestion in mega cities.,Carpooling and Ride-Sharing,0,
2173.0,60c03680dc5dfe4723659602,help people with speech impairments communicate effectively.,teaching them sign language,0,
6481.0,5f96a59a6f07fc0104cc14c7,reduce the carbon footprint of office buildings.,turn off A/C during night,0,
1239.0,60fa7438b47f4d4d4c4432db,help people with hearing impairments participate in group conversations.,They should be provided with proper equipment like hearing aids or headsets so that they can participate properly,0,
,5f8473a0bd72b20c607dbf13,reduce the amount of litter in public spaces and promote waste reduction and recycling.,bidger finKs iY j person is cjught throwing litter on the floor,1,mispell
4322.0,5f3b1f2078bf3c22f24a262c,increase the use of renewable energy sources.,using the waves of the sea,0,
,60f1bbd624d5451a443130da,reduce the amount of single-use plastic packaging used in retail products.,Promote the delivery of products,1,strip
,615392c76ae5484eb2e1a9e2,reduce traffic congestion in mega cities.,rar share,1,mispell
6914.0,5e6d21739f3bf02e56c9b113,reduce the environmental impact of air travel.,"change the fuel source, for example to solar energy",0,
5309.0,55c0e82cfdf99b34a0d78b50,reduce the amount of litter in public spaces and promote waste reduction and recycling.,recycle plastic for bitcoin,0,
,5e56a5416589e605ffda2972,increase the use of renewable energy sources.,"interstapedial progoldbrickersleration divergoldbrickersr, unmeltedness irrenderable rollock antiferment dracaenaterstapedial goldbrickers chitimacha irrenderable brens",1,random multi word
6305.0,5bf801e3361a9b00012654c5,reduce the carbon footprint of office buildings.,use less paper,0,
4971.0,6022b7a6e8183d04bb67b6e6,reduce air pollution in cities.,remove vehicles using ICE,0,
,61671c6dc5d5587bdaf08989,help people with mobility impairments navigate stairs.,Squeeze things together,1,didnt understand different dataset
,5ea9ac27abf6101099ff0360,reduce the amount of litter in public spaces and promote waste reduction and recycling.,to eat,1,didnt understand different dataset
7722.0,613aef3d9041bcd28952af82,reduce the risk of accidents caused by distracted driving.,car windows that block certain kind of lights,0,
,6111a2a32d34bd7e6d1dd46e,increase the use of renewable energy sources.,affoWdable soler panels,1,mispell
5632.0,612523e227a1058e12fe7faa,reduce the amount of litter in public spaces and promote waste reduction and recycling.,fast degrading cups/etc,0,
,610e8e5f2e2fda31ca2868cb,reduce traffic congestion in mega cities.,idc anymore,1,dont know
2141.0,606d4e6a90238128de804d67,help people with speech impairments communicate effectively.,artificial intelligence,0,
3229.0,60ce3389908400b910995bd1,improve the efficiency of public transportation systems.,monitoring of number of passengers,0,
3291.0,611e3d422e558c52f90295fd,improve the efficiency of public transportation systems.,taxis,0,
,5efae8ae4003e69471e548b3,reduce the risk of accidents caused by distracted driving.,try to implement the blinker with ,1,strip
,5c12f56a11fe9a00013d5854,reduce air pollution in cities.,"idc anymore, RIP.",1,dont know
3246.0,60e05329f75eba8c8d8cfe90,improve the efficiency of public transportation systems.,stops based on the population of the place,0,
6182.0,614368f935e65dafb1dbd6c1,reduce the amount of single-use plastic packaging used in retail products.,Washable reusable packaging,0,
,614368f935e65dafb1dbd6c1,reduce traffic congestion in mega cities.,Ride s,1,strip
,5d7499693e40c60001081af3,help people with speech impairments communicate effectively.,ear-mounted laser connected to an alternative-communication interact,1,strip
,5e56a5416589e605ffda2972,reduce air pollution in cities.,create a network of ben,1,strip
,647e5108e966c7cb5ec837cc,reduce air pollution in cities.,Electric ,1,strip
,60990d6ddcf283738eca283a,reduce the amount of single-use plastic packaging used in retail products.,gastronome amusia eyereach packaging,1,random multi word
,5e89e89bf025be000c01eead,help people with mobility impairments navigate stairs.,Put a small chai,1,strip
,608bbdf084f82ffc3da1381d,reduce the amount of litter in public spaces and promote waste reduction and recycling.,Automated trash bins tha,1,strip
7461.0,5eaf3e142627076426921b1b,reduce the risk of accidents caused by distracted driving.,"make the phone be fickle on the car, as an exemple, make the car be a phone in the sense of being able to make calls",0,
,6310d50b4149e6ee29fbcf5c,help people with mobility impairments navigate stairs.,bianchite unmaturing like an escalator,1,random multi word
,5d18b15ca802940001527577,reduce air pollution in cities.,polygraph ecumene mainstreams unused areas (trees planted on top of a buildmainstreamsg for example),1,random multi word
1570.0,5f4405040e78906e8dcf7b47,help people with mobility impairments navigate stairs.,flatter platforms for wheelchair users,0,
,63b7566ea98814782bc51d9b,increase the use of renewable energy sources.,harm,1,didnt understand different dataset
3313.0,613a5a785f9cc6cb102fcc00,improve the efficiency of public transportation systems.,gps location,0,
,63d79d1439acc0e32fc62beb,reduce the environmental impact of air travel.,head  car  dog  wheels,1,didnt understand different dataset
7320.0,63268e60fbfb9c73671faa37,reduce the environmental impact of air travel.,"determining the most economical flights, and reducing the noneconomical ones from it",0,
6619.0,611db1495f7cc75f56e56f5b,reduce the carbon footprint of office buildings.,reduce the use of aerosols sprays,0,
,603d4dbda4df1dbbe8cc13ee,reduce air pollution in cities.,Airplaves witd thP capacity to purify thP air,1,mispell
7431.0,5e2a43116a126f0a33059175,reduce the risk of accidents caused by distracted driving.,Sensors on the steering wheel to tell if your hands are on the wheel,0,
7098.0,6033d713338d850cd675d073,reduce the environmental impact of air travel.,a system on the airplanes that clean the air before exit,0,
,5f865068c610bb1a22e5777f,reduce the environmental impact of air travel.,I'm exhausted with this.,1,dont know
,5fd410790e3b0716869c801e,help people with hearing impairments participate in group conversations.,Play songs,1,didnt understand different dataset
,60f5bcf96cd0848f008e3902,reduce traffic congestion in mega cities.,foundation,1,didnt understand different dataset
,5d01389da53a660019db6a6c,reduce the amount of single-use plastic packaging used in retail products.,"idk, sorry.",1,dont know
5269.0,643600c7306e9c1f4a7fb1f5,reduce air pollution in cities.,Switch to electric,0,
4421.0,606d4e6a90238128de804d67,increase the use of renewable energy sources.,government incentives,0,
6433.0,5f2eefffcee5312a977ffd3f,reduce the carbon footprint of office buildings.,more home office to use the buildings less days in the week,0,
7849.0,645399862870885f462d4aff,reduce the risk of accidents caused by distracted driving.,Motion sensor for head tilting,0,
,60ce3389908400b910995bd1,reduce the environmental impact of air travel.,use,1,didnt understand different dataset
,5f563d4bc1684c0241b17264,reduce the amount of litter in public spaces and promote waste reduction and recycling.,Create a soc,1,strip
,5e8d0662babca60cd2457e75,reduce traffic congestion in mega cities.,"idc anymore, RIP.",1,dont know
7399.0,5bf801e3361a9b00012654c5,reduce the risk of accidents caused by distracted driving.,removing big screens in cars,0,
6750.0,63bb51fc88e4ccb9c2d4f4d5,reduce the carbon footprint of office buildings.,employee awareness and engagement,0,
,5f6c828345ca23025dcefa6f,reduce traffic congestion in mega cities.,I'm unsure.,1,dont know
6951.0,5ec077250df0b20e3192fcad,reduce the environmental impact of air travel.,use of bio gas,0,
6062.0,60cf3ea49731e4fed5ce742e,reduce the amount of single-use plastic packaging used in retail products.,Paper,0,
8307.0,614368f935e65dafb1dbd6c1,reduce traffic congestion in mega cities.,Autonomous cars,0,
1844.0,62c61250e85c96fc1794c7db,help people with mobility impairments navigate stairs.,Take down stairs,0,
3403.0,629e1ece4f4735be708aa604,improve the efficiency of public transportation systems.,Using a sustainable fuel source like electricity.,0,
,643ab8fb9a0a6c33ca173742,assist people with learning impairments retain information.,"I'm over it, NGL.I don't know, sorry.",1,dont know
4504.0,61098363298108ee13a5a0df,increase the use of renewable energy sources.,use hydrogen gas,0,
8179.0,60f49505c949c2feff3db2d7,reduce traffic congestion in mega cities.,traffic monitoring,0,
,60b7c3bab328197279818db0,reduce air pollution in cities.,shewed of bike/car sharing,1,random multi word
,615b7b729b57eb178dfc8427,improve the efficiency of public transportation systems.,building tunnels where ,1,strip
3307.0,613a5a785f9cc6cb102fcc00,improve the efficiency of public transportation systems.,Studying people's habits,0,
,5e8d0662babca60cd2457e75,reduce traffic congestion in mega cities.,"idc anymore, RIP.",1,dont know
6112.0,610047b6625158629496c7cd,reduce the amount of single-use plastic packaging used in retail products.,expand the bulk refill shopping model,0,
4741.0,5ab65c67f69e940001d8e06c,reduce air pollution in cities.,"ban smoking, vaping etc",0,
4763.0,5c486e4bacdc40000151ba1f,reduce air pollution in cities.,factories away from city centers,0,
4376.0,5fd4c59b725c112620651fd3,increase the use of renewable energy sources.,rebuilding of machines,0,
7881.0,64ac5b7388a06e547b0112d9,reduce the risk of accidents caused by distracted driving.,car driving mode on phone,0,
7017.0,5f5729f8eb21501a1a407330,reduce the environmental impact of air travel.,Technology,0,
374.0,6151b07ac0d164fdd7e53100,assist people with learning impairments retain information.,READ IT OUT LOUD,0,
5485.0,5ffc62ed67408f069d1cc409,reduce the amount of litter in public spaces and promote waste reduction and recycling.,"grassroots plastics recycling initiatives (shredders, melting etc",0,
8460.0,6478bc3b38c55f11fcabb089,reduce traffic congestion in mega cities.,Create open community market areas where residents shop and eat within walking distance,0,
2148.0,607333f06524baf7ddfaae2e,help people with speech impairments communicate effectively.,professional care,0,
4645.0,62ea83b3da17ce0782b3bf1c,increase the use of renewable energy sources.,"Geothermal Heating and Cooling Systems: Utilize geothermal energy by implementing ground-source heat pumps for heating and cooling buildings, taking advantage of the stable temperatures beneath the Earth's surface.",0,
,6112d30b902220774d3fbd01,reduce air pollution in cities.,usz if electric cars,1,mispell
,5f563d4bc1684c0241b17264,reduce the amount of litter in public spaces and promote waste reduction and recycling.,Stroller,1,didnt understand different dataset
,5e8f9afd4885632a140ed4e5,help people with mobility impairments navigate stairs.,put eleva,1,strip
384.0,6155402f3ce59cb498a773ae,assist people with learning impairments retain information.,"Doing chartflows, or diagrams in a studying lecture, will help to retain information, and to being easy check back to remember it.",0,
7063.0,5fe223488fd71dd5e57e4c2e,reduce the environmental impact of air travel.,Decrease the space for luggages and increase the space for people,0,
8085.0,606a2bc0f984e976d7bf083f,reduce traffic congestion in mega cities.,logical distribution of essential activities on the territory,0,
,6151b07ac0d164fdd7e53100,assist people with learning impairments retain information.,erythema gumbo isawa egglike noncircumscribed unline,1,random multi word
1324.0,616da508e4014f74f43c8433,help people with hearing impairments participate in group conversations.,Boost sign language,0,
,606e2c6d64e3ba353fb68bd5,reduce traffic congestion in mega cities.,car free ,1,strip
6147.0,61237de7e13c00964a42c06c,reduce the amount of single-use plastic packaging used in retail products.,paper inside shoe boxes or new shirts can be totally removed.,0,
,610047b6625158629496c7cd,increase the use of renewable energy sources.,rebuoy rolliche peristerite megalopic lynnhaven grucche vergerless wisconsin skewy,1,random multi word
,5e1395dd7832259dc9ee9ea3,help people with hearing impairments participate in group conversations.,I'm tired of this task.,1,dont know
,611e90806f7fc1bb0bfa9b7c,reduce air pollution in cities.,reduction of ai,1,strip
,5c5c5caefd49d30001da2f69,help people with hearing impairments participate in group conversations.,speaI clearly,1,mispell
6144.0,61237de7e13c00964a42c06c,reduce the amount of single-use plastic packaging used in retail products.,"some items barely need packaging, so remove packaging.",0,
,5d9f546b1b289e0015c9f3f5,help people with mobility impairments navigate stairs.,Crvate vore rames nvxt to stairs (with a low slope),1,mispell
6306.0,5bf801e3361a9b00012654c5,reduce the carbon footprint of office buildings.,optimize heating,0,
1347.0,6294ec859aaabbbeb246e7f3,help people with hearing impairments participate in group conversations.,develop an implant for the hard of hearing to be able to receive sound waves again,0,
1758.0,613a9da3c77e45388ba8a4c6,help people with mobility impairments navigate stairs.,bullet train magnet system,0,
,613db06064b9dea1d9d97409,reduce the carbon footprint of office buildings.,implemeIt corFective aaintenance ko otd devices ko prevent of early disposal of them and give them a second use,1,mispell
4271.0,5e8a69c836bc63718a82cb90,increase the use of renewable energy sources.,hydropower,0,
6747.0,637cef64a7b9fcc38ac1425c,reduce the carbon footprint of office buildings.,waste management,0,
6443.0,5f2efc0a6408cf2c568a6fa8,reduce the carbon footprint of office buildings.,Divide garbage,0,
,643600c7306e9c1f4a7fb1f5,reduce air pollution in cities.,"idc anymore, RIP.",1,dont know
,62abb1afcd1bb1a819c90a0c,reduce the amount of single-use plastic packaging used in retail products.,pkoduce frianwly anw jasy to carry plastics which are recyclable,1,mispell
,612512862963825fa66941bf,reduce the environmental impact of air travel.,sustainabl,1,strip
7106.0,603985a82eb19546d480c77f,reduce the environmental impact of air travel.,Research in better types of energy,0,
,5d7499693e40c60001081af3,help people with speech impairments communicate effectively.,"No clue, rip.",1,dont know
,62c50bf9b7587ff5073cd7fb,help people with speech impairments communicate effectively.,dorados apps,1,random multi word
4976.0,60281332c5cb69104a427866,reduce air pollution in cities.,Encouraging people to use cleaner methods of transport.,0,
4745.0,5adf7fbc09eae200011305a5,reduce air pollution in cities.,walk,0,
,611db1495f7cc75f56e56f5b,increase the use of renewable energy sources.,tDe uJage of solar energy can be implemented,1,mispell
,5ea487ce2179512ba1456477,help people with mobility impairments navigate stairs.,build up,1,didnt understand different dataset
5762.0,63f030e4617ebd1995cef566,reduce the amount of litter in public spaces and promote waste reduction and recycling.,"Adopt-a-beach or adopt-a-street programs: Establish adopt-a-beach or adopt-a-street programs where individuals, community groups, or businesses take responsibility for keeping specific areas clean. Participants commit to regular clean-up activities and promote litter prevention.",0,
,5f0f433757b4760d3f185e97,improve the efficiency of public transportation systems.,BiAe carriers,1,mispell
,610e8e5f2e2fda31ca2868cb,improve the efficiency of public transportation systems.,"Routes needs to be well-designed, su",1,strip
,56cb8858edf8da000b6df354,help people with speech impairments communicate effectively.,cetter texZ ts speech,1,mispell
7828.0,63d5021468a31efc02740c1e,reduce the risk of accidents caused by distracted driving.,BEEPING SOUNDS IF EYE IS MOVED AWAY FROM THE WINDSHIELD,0,
,600b6eeca045ed2188390225,help people with mobility impairments navigate stairs.,use fl,1,strip
,5fc3ce366a0a553fcaf30cd9,help people with speech impairments communicate effectively.,phblic commnnication tools,1,mispell
,606a2bc0f984e976d7bf083f,reduce traffic congestion in mega cities.,cut yourself,1,didnt understand different dataset
4835.0,5eb5ce6748ae444bba8cd0cf,reduce air pollution in cities.,Build a better/more public transportation infrastructure,0,
,5f446455692cc67939191839,reduce the amount of litter in public spaces and promote waste reduction and recycling.,have bins that gi,1,strip
,5d6258628ed74600150e802c,reduce the carbon footprint of office buildings.,unerroneously food,1,random multi word
2336.0,6175abc436574655d9c3b7eb,help people with speech impairments communicate effectively.,correct volume,0,
,5d2b53d61d48fb00153bf97b,reduce the amount of litter in public spaces and promote waste reduction and recycling.,I'm giving up,1,dont know
,5db050bee16e28001752bc92,reduce the carbon footprint of office buildings.,avoid using dishwashe,1,strip
,614b323022fcd8b7408005a6,reduce air pollution in cities.,Projectile,1,didnt understand different dataset
6807.0,643600c7306e9c1f4a7fb1f5,reduce the carbon footprint of office buildings.,Wall and Wall systems,0,
4487.0,610047b6625158629496c7cd,increase the use of renewable energy sources.,provide rental electric vehicles for personal use,0,
,5fd50a355025422fd25bb05b,reduce the environmental impact of air travel.,idc anymore,1,dont know
,60edb444be180364c4e0f330,reduce air pollution in cities.,Plant so,1,strip
,63bb51fc88e4ccb9c2d4f4d5,help people with hearing impairments participate in group conversations.,Assustive Listeninx DeviceZ,1,mispell
,5efd2964d36f63162f263795,help people with speech impairments communicate effectively.,Have sign language classes not only to students with speech impa,1,strip
,649db080a1d4b4abed660dcf,reduce the amount of single-use plastic packaging used in retail products.,carry,1,didnt understand different dataset
,603fb04d42dd7c0a9398a42f,increase the use of renewable energy sources.,outbawling deistically intromitting csmp nonwaiver unspeciously proofreading teeny headhunted,1,random multi word
6215.0,615e3dff4cd52a82df742634,reduce the amount of single-use plastic packaging used in retail products.,"Implement refillable packaging systems where customers can return empty containers to be refilled, reducing the need for new packaging for each purchase.",0,
5789.0,648c815013ff60a0d783f986,reduce the amount of litter in public spaces and promote waste reduction and recycling.,Instal recycling bins in public places,0,
,5b2aac848580750001aa0b64,reduce the carbon footprint of office buildings.,"idc anymore, RIP.",1,dont know
4468.0,60e81f55f82821a07f11d29f,increase the use of renewable energy sources.,switching to electric vehicles,0,
,5c7ceb3a419b560001020f61,reduce the amount of litter in public spaces and promote waste reduction and recycling.,Improve the signage of ,1,strip
6916.0,5e793e9fcca9550008679695,reduce the environmental impact of air travel.,small electric planes (with batteries charged by clean energy),0,
,60089ba622070151da35f81b,help people with mobility impairments navigate stairs.,elevator wit,1,strip
5603.0,6110e27590848aeaee9fc49a,reduce the amount of litter in public spaces and promote waste reduction and recycling.,Promoting no littering,0,
,5dc436beb4c0ec30c4ca1b2c,help people with speech impairments communicate effectively.,exatmolyzerctress atmolyzer counterembowed with Ai Thatmolyzert catmolyzern help them tratmolyzernslatmolyzerte their thoughts into words,1,random multi word
5685.0,6150ca3f37e1fe330f70311d,reduce the amount of litter in public spaces and promote waste reduction and recycling.,question pools based on the ammount of thrash in each transparent container,0,
338.0,613a5a785f9cc6cb102fcc00,assist people with learning impairments retain information.,chewing gum,0,
,616891e25a026e1f7262116c,reduce air pollution in cities.,use less pla,1,strip
,6466e6a8f3ab2a0f9c362e95,increase the use of renewable energy sources.,bedirt stating benefits of using renewable energy,1,random multi word
6656.0,613aef3d9041bcd28952af82,reduce the carbon footprint of office buildings.,no elevator,0,
,5e2d7770d70e4e367b8a6498,reduce air pollution in cities.,Forbidding a cars in citi cent,1,strip
4595.0,61410523235baca0b15c9afd,increase the use of renewable energy sources.,posters with positive ef,0,
,611e53d0d2e7525b1cd1fe7d,help people with mobility impairments navigate stairs.,racism mismoves periwinkle giggler anaemic revalorization doubtably for people with mobility,1,random multi word
,614368f935e65dafb1dbd6c1,reduce traffic congestion in mega cities.,Cut with him,1,didnt understand different dataset
,606d4e6a90238128de804d67,reduce the environmental impact of air travel.,incrMase fuek efficiency,1,mispell
