prompt,response,label,augment_type
The clear sky is,lustrous,1,didnt_understand
The calm beach is,beauti,1,strip
The bright light is,the sun,0,
The old book is,very wise,0,
The dark night is,a nightmare ,0,
The wet ground is,a nexus of life,0,
The clean window is,bright,0,
The wide ocean is,old as my grandma,1,didnt_understand
The high mountain is,the stairway to heaven,0,
The large house is,strawberry,1,random_multi_word
The long river is,like a line drawn across the land by gods hand,0,
The crowded bus is,over staffed,0,
The expensive watch is,a treasure,0,
The full glass is,wet as a puddle,0,
The happy baby is,angelic,0,
The thick fog is,a wall,0,
The slow train is,walking,0,
The important meeting is,,1,human_invalid
The tight jeans are,grip,1,strip
The noisy party is,round as a ball,1,didnt_understand
The ancient ruins are,ancient history,1,didnt_understand
The hot tea is,lovel,1,strip
The crowded bus is,sardines,1,strip
The fresh fruit is,heaven,0,
The quiet street is,like a silent disco,0,
The cold ice is,the cold ice is refreshing ,0,
The thick fog is,saxophone,1,random_multi_word
The calm beach is,peace,0,
The cold ice is,like putting your hand on ,1,strip
The young child is,elephant sprout,1,random_multi_word
The strong wind is,p tmrnado,1,mispell
The tight jeans are,like putting your hand on a freezer,1,didnt_understand
The crowded bus is,pahked,1,mispell
The dry desert is,uternal,1,mispell
The tasty meal is,marshmallow in their mouth,1,random_multi_word
The thick fog is,thick as th,1,strip
The fast horse is,speedy,0,
The dark night is,like a black cat,0,
The tight jeans are,suffocating,0,
The long river is,a winding snake,0,
The wet ground is,rain forest,0,
The smooth road is,silk,0,
The young child is,simple,0,
The hot tea is, is hotter than fire,0,
The fast car is,the flash,0,
The fast car is,like a speeding bullet,0,
The soft pillow is,cloudlike,0,
The shiny coin is,mint,0,
The new shoes are,co,1,strip
The slow train is,crocodile chocolate grasshopper,1,random_multi_word
The full moon is,as bright as the sun,0,
The thin air is,like whispy clouds,0,
The large house is,fortreLs,1,mispell
The empty bottle is,lo,1,strip
The bright light is,blinding,0,
The high mountain is,blinding,1,didnt_understand
The strong wind is,heavy,0,
The happy baby is,a ray of sunshine,0,
The red apple is,bloody red,0,
The difficult puzzle is,impossible,0,
The dark night is,is like a tunnel with no end,0,
The full moon is,like a pizza,0,
The hot tea is,like lava,0,
The fresh fruit is,v prMze,1,mispell
The tight jeans are,stuck to the skin,0,
The strong wind is,fBrious,1,mispell
The smooth road is,chocolate,1,random_multi_word
The empty bottle is,like ,1,strip
The large house is,a mountain,0,
The crowded bus is,packed,0,
The modern building is,?,1,dont_know
The full glass is,an optimist,0,
The ancient ruins are,the ruins are dinosaurs,0,
The old book is,treasure,0,
The noisy party is,no idea,1,dont_know
The thick fog is,volcano,1,random_multi_word
The soft pillow is,a cloud,0,
The deep lake is,docile,0,
The cheap toy is,plastic/pl�Stica,0,
The strong wind is,trampoline,1,random_multi_word
The soft pillow is,cloudsike,1,mispell
The cold ice is,like snow,0,
The smooth road is,s,1,strip
The dry desert is,next,1,dont_know
The wet ground is,skateboard,1,random_multi_word
The new shoes are,lik,1,strip
The old book is,incredible my grandpa,1,random_multi_word
The fresh fruit is,ripe like a newborn,0,
The wet ground is,thunderstorm calculator swamp,1,random_multi_word
The tall tree is,as tall ,1,strip
The soft pillow is,nothing comes to mind,1,dont_know
The difficult puzzle is,el saber/knowledge,0,
The short bridge is,tuckered out,0,
The slow train is,snai,1,strip
The old book is,e museum,1,mispell
The empty bottle is,eternal,1,didnt_understand
The expensive watch is,i dnt knnow,1,human_invalid
The difficult puzzle is,tkugh,1,mispell
The modern building is,microscope grasshopper,1,random_multi_word
The dry desert is,marshmallow,1,random_multi_word
The shiny coin is,the shiny coin is no always valuable,1,human_invalid
The full glass is,an optimist's dream.,0,
The difficult puzzle is,pandora's box,0,
The quiet street is,sacred,0,
The strong wind is,rhinoceros,1,random_multi_word
The difficult puzzle is,a chicken in a maze,0,
The noisy party is,volcano,1,random_multi_word
The dark night is,like whispy clouds,1,didnt_understand
The red apple is,an invitation,1,human_invalid
The tasty meal is,heaven,0,
The expensive watch is,an ornament o the hand,0,
The crowded bus is,part,1,strip
The hot tea is,boiling ,0,
The strong wind is,heav,1,strip
The full moon is,is a ball ,0,
The old book is,as prehistoric as a dinosaur,0,
The short bridge is,rike i boZt hf lighteneinb ,1,mispell
The old book is,superstitious,0,
The quiet street is,like space,0,
The ancient ruins are,marshmallow ruins are dinosaurs,1,random_multi_word
The fast horse is,??,1,dont_know
The large house is,red,1,human_invalid
The old book is,an a,1,strip
The expensive watch is,a flag,1,human_invalid
The quiet street is,dinosaur a silent disco,1,random_multi_word
The dark night is,thirsting,1,didnt_understand
The expensive watch is,a show of wealth,0,
The fast horse is,lightning,0,
The tasty meal is,aR taNty am ever,1,mispell
The clean window is,happiness,1,random_multi_word
The slow train is,minature,1,didnt_understand
The smooth road is,hilk,1,mispell
The tight jeans are,sticky,0,
The salty sea is,like a pillar of salt,0,
The long river is,soupy,1,didnt_understand
The new shoes are,like walking on clouds,0,
The green grass is,a pool o,1,strip
The new shoes are,new,0,
The expensive watch is,kryptonite,0,
The full moon is,a circle,0,
The dark night is,incredible,1,random_multi_word
The clear sky is,illuminating,1,didnt_understand
The old book is,ancient,0,
The ancient ruins are,a labyrin,1,strip
The soft pillow is,incredible,1,random_multi_word
The clean window is,a crysta,1,human_invalid
The high mountain is,t skyscraper,1,mispell
The strong wind is,no answer,1,dont_know
The wide ocean is,like an old car,1,didnt_understand
The deep lake is,endless,0,
The red apple is,toothbrush,1,random_multi_word
The young child is,celebrate helicopter,1,random_multi_word
The cold ice is,chilly,0,
The salty sea is,-,1,dont_know
The calm beach is,thrillEng,1,mispell
The full glass is,af optimist's dream.,1,mispell
The dry desert is,???,1,dont_know
The quiet street is,like a grave yard,0,
The difficult puzzle is,straig,1,strip
The noisy party is,bike a WoodStock concert.,1,mispell
The wide ocean is,Vs Bide Ws the planet,1,mispell
The bright light is,I don't know,1,dont_know
The bright light is,a star,0,
The old book is,ancient,0,
The thick fog is,glued over the city,0,
The old book is,kangaroo,1,random_multi_word
The fresh fruit is,like my tears,1,didnt_understand
The wet ground is,liQe U swamp,1,mispell
The fast horse is,wind,0,
The tall tree is,higher than the empire,0,
The red apple is,trampoline thunderstorm happiness accordion hamburger,1,random_multi_word
The dry desert is,sandpaper,0,
The thin air is,h,1,strip
The tight jeans are,tighter than my grip while rock climbing,0,
The strong wind is,force,0,
The thick fog is,as thieves/como ladronas,0,
The difficult puzzle is,puzzlHng,1,mispell
The tall tree is,like a friend,0,
The calm beach is,like a quiet childhood afternoon outside,0,
The wide ocean is,as wid,1,strip
The difficult puzzle is,Li diffNcult Gs a mkth,1,mispell
The bright light is,brighter than the sun,0,
The old book is,ancie,1,strip
The tasty meal is,an opening,0,
The quiet street is,sleeping,0,
The high mountain is,microscope delicious,1,random_multi_word
The bright light is,crocodile flame,1,random_multi_word
The clean window is,square,1,human_invalid
The young child is,juvenile,0,
The cold ice is,dreamv,1,mispell
The slow train is,likr L perOon strugglfng tw finvsh Q mkrathon,1,mispell
The red apple is,juicy,0,
The sweet candy is,joyful,0,
The happy baby is,adventure,1,random_multi_word
The quiet street is,Rleeping,1,mispell
The hot tea is,lovely,0,
The calm beach is,like heaven,0,
The tall tree is,a towering giant,0,
The deep lake is,umbrella,1,random_multi_word
The crowded bus is,a stadium,0,
The full moon is,docile,1,didnt_understand
The crowded bus is,part,1,strip
The fast car is,like a cheetah,0,
The expensive watch is,I have no idea,1,dont_know
The heavy rain is,like its pouring cats and dogs,0,
The quiet street is,eerie,0,
The quiet street is,a cemetary,0,
The tight jeans are,grippinZ,1,mispell
The cheap toy is,basketball umbrella,1,random_multi_word
The shiny coin is,precious metal,0,
The fast horse is,a rocket,0,
The happy baby is,like a puppy,0,
The full moon is,endless,0,
The slow train is,like a centipede,0,
The tight jeans are,grippi,1,strip
The ancient ruins are,The anciet ruins are mystical,0,
The dark night is,like a dark hole,0,
The expensive watch is,showing my worth,0,
The crowded bus is,sardines in a can,0,
The calm beach is,is as relaxi,1,strip
The quiet street is,xylophone,1,random_multi_word
The expensive watch is,a treasure,0,
The wide ocean is,like space ,0,
The wet ground is,oceanic,0,
The dry desert is,rhinoceros,1,random_multi_word
The tall tree is,closest to god,0,
The happy baby is,a bundle of joy,0,
The thick fog is,soupy,0,
The wet ground is,soaked,0,
The wide ocean is,years long,0,
The red apple is,a ruby,0,
The long river is,like a neve,1,strip
The high mountain is,the skies toothpick,0,
The hot tea is,toothbrush embrace,1,random_multi_word
The strong wind is,powerful ,0,
The full moon is,jike a shirt button,1,mispell
The wide ocean is,is like the sky,0,
The noisy party is,dwarf/enana,1,didnt_understand
The salty sea is,lighthouse parachute butterfly vinegar crisps,1,random_multi_word
The short bridge is,not sure,1,human_invalid
The difficult puzzle is,an obstacle,0,
The strong wind is,a flame,1,didnt_understand
The high mountain is,adventure microscope spaghetti delicious,1,random_multi_word
The slow train is,like a turtle,0,
The noisy party is,a blanket,1,didnt_understand
The young child is,like a baby,0,
The smooth road is,honey,0,
The clean window is,immaculate,0,
The red apple is,as bright as blood,0,
The calm beach is,like the forest,0,
The high mountain is,in space,0,
The smooth road is,Vce rinJ,1,mispell
The heavy rain is,is like a pile of rocks,0,
The ancient ruins are,?,1,dont_know
The calm beach is,a journey,1,didnt_understand
The crowded bus is,like a can of sardines,0,
The full moon is,round,0,
The modern building is,maze-like,0,
The slow train is,steady,0,
The thin air is,zsthma,1,mispell
The fast horse is,a train,0,
The cheap toy is,like an old car,0,
The strong wind is,taller than the empire state building,1,didnt_understand
The tight jeans are,tight,0,
The calm beach is,an escape,0,
The empty bottle is,as empty as ones appetite after a good meal,0,
The bright light is,lightning ,1,didnt_understand
The wet ground is,a ruby,1,didnt_understand
The strong wind is,i cant think of one,1,dont_know
The old book is,watermelon butterfly sunflower,1,random_multi_word
The red apple is,a r,1,strip
The tasty meal is,like a diamond in the sky,1,didnt_understand
The ancient ruins are,Y time of life,1,mispell
The calm beach is,soft,1,human_invalid
The old book is,nope,1,dont_know
The new shoes are,skip,1,dont_know
The easy task is,peace of cake,0,
The dry desert is,thirsting,0,
The strong wind is,a precursor of what may come,0,
The cheap toy is,trash,0,
The fresh fruit is,new produce,0,
The dark night is,scrumptious,1,didnt_understand
The deep lake is,vas,1,strip
The important meeting is,like a meeting with the President,0,
The young child is,puppy,0,
The expensive watch is,an insecurity,0,
The short bridge is,like a easy job,0,
The tasty meal is,sensaciunal,1,mispell
The bright light is,like a train,1,didnt_understand
The dry desert is,saharra,0,
The quiet street is,whisperless in the moonlight.,0,
The deep lake is,en,1,strip
The wide ocean is,endless/interminable,0,
The large house is,my ,1,strip
The sweet candy is,as complex as the meaning of life.,1,didnt_understand
The cheap toy is,trash,0,
The full glass is,hopeful,0,
The thick fog is,jlindfold,1,mispell
The difficult puzzle is,as complex as the meaning of life.,0,
The slow train is,Wike K Wurtle,1,mispell
The smooth road is,a nectar,1,didnt_understand
The deep lake is,like a,1,strip
The expensive watch is,more luxurious than a diamond,0,
The salty sea is,as sour as a warhead,0,
The cheap toy is,like a hollow shell,0,
The difficult puzzle is,teazing,0,
The difficult puzzle is,kangaroo jubilant accordion the meaning of life.,1,random_multi_word
The happy baby is,t bundae of joy,1,mispell
The wide ocean is,like an e,1,strip
The full moon is,a symbol,0,
The dark night is,like a deep hole,0,
The thick fog is,???,1,dont_know
The empty bottle is,like a barren field,0,
The strong wind is,like a tornado,0,
The calm beach is,La playa pac,1,strip
The thick fog is,like the bedrock,0,
The dry desert is,thirsty,0,
The large house is,mj caitle,1,mispell
The full glass is,scary,1,didnt_understand
The old book is,dirtC,1,mispell
The thin air is,I have no idea,1,dont_know
The ancient ruins are,helicopter,1,random_multi_word
The thin air is,more than me,0,
The empty bottle is,devoid,0,
The clear sky is,celebrate volcano,1,random_multi_word
The hot tea is,lava,0,
The fast horse is,Llazing,1,mispell
The wet ground is,muddder thQn a swamp,1,mispell
The tall tree is,Tower,0,
The fresh fruit is,boFntiful,1,mispell
The quiet street is,lonely,0,
The crowded bus is,party,0,
The ancient ruins are,geGrge washington,1,mispell
The slow train is,old,0,
The expensive watch is,a collectible decoration,0,
The smooth road is,calm,0,
The fresh fruit is,thunderstorm,1,random_multi_word
The cheap toy is,practical,0,
The empty bottle is,as empty as ,1,strip
The deep lake is,jellyfish,1,random_multi_word
The ancient ruins are,butterfly,1,random_multi_word
The short bridge is,lightning,1,didnt_understand
The tight jeans are,as tight as a bandage,0,
The crowded bus is,like cattle,0,
The full moon is,the beginn,1,strip
The deep lake is,pineapple pit,1,random_multi_word
The quiet street is,p,1,strip
The deep lake is,like the grand canyon,0,
The cheap toy is,a fierce dragon,1,didnt_understand
The fast horse is,lvghtning,1,mispell
The noisy party is,too loud to hear myself think,0,
The fast horse is,bo,1,strip
The bright light is,v star,1,mispell
The new shoes are,fancy,0,
The smooth road is,a highway to dreams,0,
The wide ocean is,continuous,0,
The thick fog is,souAy,1,mispell
The soft pillow is,like a fluffy cloud,0,
The wide ocean is,vs liku thT sIy,1,mispell
The bright light is,blinding,0,
The happy baby is,bloody red,1,didnt_understand
The cheap toy is,breakable like a twig,0,
The thin air is,newspaper sharp lungful,1,random_multi_word
The difficult puzzle is,A maze,0,
The green grass is,caterpillar,1,random_multi_word
The dark night is,huh?,1,dont_know
The calm beach is,thrilling,0,
The long river is,caterpillar xylophone,1,random_multi_word
The old book is,timeleQs,1,mispell
The salty sea is,chips,0,
The crowded bus is,a tuna-can,0,
The dark night is,butterfly incredible elephant adventure,1,random_multi_word
The important meeting is,round,1,didnt_understand
The wet ground is,dinosaur delicious,1,random_multi_word
The deep lake is,chocolate banana jellyfish delicious expectaciones,1,random_multi_word
The noisy party is,a circus,0,
The wide ocean is,butterfly hamburger diamond,1,random_multi_word
The calm beach is,peace,0,
The happy baby is,no,1,dont_know
The green grass is,like lightening mcqueen ,1,didnt_understand
The slow train is,sluggish,0,
The modern building is,like a bullet train.,0,
The tight jeans are,being in jail,0,
The thick fog is,a journey,1,didnt_understand
The difficult puzzle is,harder tha,1,strip
The fresh fruit is,as a daisy,0,
The thick fog is,nothing,1,dont_know
The wide ocean is,i cant think of one,1,dont_know
The expensive watch is,the world ,1,strip
The difficult puzzle is,the age of a puppy,1,didnt_understand
The wide ocean is,like paper,0,
The long river is,brain  teaser,1,didnt_understand
The tight jeans are,a recipe fo,1,strip
The heavy rain is,like cats and dogs,0,
The full glass is,optimistic,0,
The deep lake is,my life,1,didnt_understand
The important meeting is,"a pivotal crossroad, where the paths of opportunity converse and decisions shape the destiny, like a compass guiding the course of action towards a brighter horizon",0,
The red apple is,a ruby,0,
The dark night is,a ghost,0,
The clear sky is,az,1,strip
The difficult puzzle is,the mountain is a giant,1,didnt_understand
The tall tree is,a giant,0,
The deep lake is,deeper than the sea,0,
The short bridge is,as short as anyone under 6 feet.,0,
The strong wind is,Purious,1,mispell
The dry desert is,a death trap,0,
The hot tea is,a furnace,0,
