ID,prompt,response,label,lang,augment_type
578686,brick,transacts autopsying graping emigrative,1,,random multi word
2122,box,Ahair,1,,mispell
148,belt,Dress,0,english,
148,tin cans,It is placed in skin care products,0,english,
30019,brick,as a paper weight,0,english,
253,nuclear box,rattle,0,english,
10144,knife,peel an orange,0,english,
165,nuclear box,Tmpty nE n replncement fog n iowl,1,,mispell
42,pea,fry,0,english,
2154,box,to live in,0,english,
288,nuclear box,Children's purr telephone,0,english,
20136,box,wrap it in wrapping paper,0,english,
5,bed,read,0,english,
2789,hat,Sun,0,english,
523746,can,bin,0,english,
110,nuclear box,Place more trash cans,1,,didnt understand different dataset
20018,box,"idk anymore, sorry mate",1,,dont know
53,violin,practice,0,english,
118,basket,basket of the well,0,english,
355,stone,buiPd a house,1,,mispell
6,box,link with sequence of stories,1,,didnt understand different dataset
2085,box,calcaneoplantar,1,,random multi word
4,tongs,lift,0,english,
234,knife,I'm unsure.,1,,dont know
11,shovel,aolishing,1,,mispell
30119,brick,you can use the as a base for something.,0,english,
52,table,clean up,0,english,
67,knife,shovel,0,english,
30097,brick,a car stopper,0,english,
194,nuclear box,As a glass for drinks,0,english,
10128,brick,"semilegislative a house, building",1,,random multi word
85,wheelbarrow,misunion,1,,random multi word
2154,rope,"idk, sorry.",1,,dont know
56,box,storage boxes,0,english,
25,bottle,to drink water,0,english,
269,nuclear box,Treasure cheek,0,english,
40,trumpet,clean,0,english,
342355,brick,Generaljy mor construction,1,,mispell
1217,stone,surface train,1,,didnt understand different dataset
152,tin cans,wome decoration,1,,mispell
352495,brick,"idk anymore, sorry man.",1,,dont know
12,flute,gGve awaF,1,,mispell
253,knife,Scissors,0,english,
30,book,crane,1,,didnt understand different dataset
37,flute,lend,0,english,
60,hair dryer,Warm the body,0,english,
2184,rope,tie things from cars,0,english,
114,nuclear box,bucket,0,english,
2085,box,Increase aircraft of aircraft,1,,didnt understand different dataset
10082,brick,motorcoach,1,,random multi word
20036,rope,latte,1,,strip
24,nuclear box,tower,0,english,
11,flute,Propagate posters that present the consequences of not doing that.,1,,didnt understand different dataset
30046,brick,deuterostomgrillsurveilgepteroustous grillsurveilgepterousstregrillsurveilgepterousm grillsurveilgepterous grillsurveilgentilysin hereout grillsurveilgepterous cgrillsurveilgepterousr pgrillsurveilgepterousrked proprsurveiletor grillsurveilgepterous uncounsellable to keep it from rolling,1,,random multi word
110,wheelbarrow,Game to push someone (race),0,english,
119,tin cans,Pens and colors,0,english,
239,wheelbarrow,"No clue, rip.",1,,dont know
148,nuclear box,For the target throw,0,english,
166,nuclear box,wall decoration,0,english,
11,shovel,invent good sun (irradiation) traps,1,,didnt understand different dataset
59,nuclear box,character aid,1,english,
82,bottle,fill with water /liquid,0,english,
22,bed,lay,0,english,
131,belt,Make a necklace,0,english,
30052,brick,clubhouse,0,english,
20018,box,"idk anymore, sorry mate",1,,dont know
2002,box,cage,0,english,
39,hair dryer,Dry nail polish,0,english,
2164,rope,afflicting,1,,random multi word
2005,rope,tie things up,0,english,
85,table,dra,1,english,
474845,can,vase,0,english,
179,stone,Shed,0,english,
2184,box,A game,0,english,
2175,box,head  car  dog  whee,1,,strip
77,tire,I've had enough lol,1,,dont know
119,knife,chick up onions,0,english,
1214,stone,brick stairs,0,english,
50,fork,eat food wit,1,,strip
11,tongs,hold o,1,,strip
1850,stone,"I'm giving up, lmao.",1,,dont know
345555,brick,"break the window with it,",0,english,
117303,can,for ashtray,0,english,
224,wheelbarrow,Make shopping one in one that pushes,0,english,
54,tin cans,luggage,0,english,
311,jar,Pen holder,0,english,
30104,brick,to prop a door open,0,english,
30131,brick,road,0,english,
80,shovel,dig soil,0,english,
20098,box,r,1,,strip
6,knife,To defend themselves from attacker,0,english,
4,nuclear box,weapon,0,english,
20036,box,I'm tired of this task.,1,,dont know
120,tin cans,Street animal container,0,english,
138,hair dryer,I'm tired of this task.,1,,dont know
107,wheelbarrow,chondrocranium vorticosely,1,,random multi word
84,hair dryer,Instead of the towe,1,,strip
30028,brick,wexghts,1,,mispell
30102,brick,use as a lifting weight,0,english,
49,flute,wrap up,1,english,
225,hair dryer,An expensive tax on plastic to discourage its use,1,,didnt understand different dataset
564679,can,"as a utility item,",0,english,
1632,stone,floor,0,english,
2154,rope,to clim,1,,strip
157,hair dryer,Xeat the apartment,1,,mispell
2026,rope,I've had enough lol,1,,dont know
30015,brick,ontological,1,,random multi word
10177,knife,cul food,1,,mispell
108,nuclear box,"Establish partnerships with local businesses, such as cafes and restaurants, to provide recycling facilities or encourage the use of eco-friendly packaging. This collaboration can help reduce waste generated by these establishments and promote sustainable practices.",1,,didnt understand different dataset
209,hair dryer,Simulatk wind for photos,1,,mispell
35,book,gain knowledge,0,english,
409,fork,"idk, man",1,,dont know
264,nuclear box,craft,0,english,
10150,brick,use the solar photovoltaic panels in their own house/business,1,,didnt understand different dataset
2177,rope,belt,0,english,
196,fork,specifications,1,english,
157,tin cans,Making some accessories,0,english,
122,wheelbarrow,Speed â€‹â€,1,,strip
2099,rope,jump ,1,,strip
40,paprika,cut into a salad,0,english,
10085,brick,road,0,english,
138,hair dryer,tub into the tub,0,english,
181,stone,Wall,0,english,
555941,brick,"tyrosines break the teeth,",1,,random multi word
30088,brick,build a mansion,0,english,
6,nuclear box,Souvenir,0,english,
32,chair,lea,1,,strip
1485,stone,driven is protected in his seat from the passengers,1,,didnt understand different dataset
2152,box,I'm tired of this.,1,,dont know
30120,brick,"idk, sorry mate",1,,dont know
45,brick,hard,1,english,
9,knife,A universal railing that connects to the mobility impairments people chair's,1,,didnt understand different dataset
10153,knife,vitamins,1,,random multi word
171,tin cans,Quotation,1,english,
531,brick,Wall,0,english,
10058,brick,sidewalks,0,english,
773,towel,something with it,1,english,
10239,knife,cVopping,1,,mispell
380,fork,I'm exhausted with this.,1,,dont know
277,nuclear box,Pla,1,,strip
210,hair dryer,Electroshock,0,english,
507,brick,a wall,0,english,
182,belt,Disguise,0,english,
2076,rope,"idk, lol",1,,dont know
194,nuclear box,pluckage a glass for drinks,1,,random multi word
143,brick,d,1,,strip
84,shovel,use to dig a hole,0,english,
40,drum,play on it,0,english,
553,brick,home,0,english,
10,nuclear box,Vase,0,english,
45,nuclear box,"idk anymore, sorry mate",1,,dont know
44,bed,cuddle,0,english,
87,nuclear box,create fast charging for electric vehicles and make it accessible,1,,didnt understand different dataset
11,book,wriOe,1,,mispell
32,hair dryer,Dry dishes,0,english,
30027,brick,fighting utensil,0,english,
91,wheelbarrow,Making devices that can translate sign language into another language,1,,didnt understand different dataset
21,hair dryer,Dry plaster,0,english,
20097,box,a place to hold my books,0,english,
1828,stone,Build a wall with,0,english,
20134,rope,holding things d,1,,strip
1202,stone,bridge,0,english,
142,hair dryer,spasmolytically urethrorectal,1,,random multi word
1,axe,Shine wood,0,english,
122,wheelbarrow,Speed â€‹â€‹up,1,english,
230,fork,to eat,0,english,
42,drum,"idk anymore, sorry mate",1,,dont know
65,hair dryer,Play (pistol children),0,english,
107,jar,Pen holder,0,english,
60000,brick,Water involvement,1,,didnt understand different dataset
118,belt,I'm done trying,1,,dont know
108,tin cans,aave brains at home,1,,mispell
24,table,tip over,0,english,
1530,stone,building a church,0,english,
105,knife,Cut the food,0,english,
676,brick,walls,0,english,
2012,rope,belt,0,english,
48,brick,honorees,1,,random multi word
22,shovel,"I'm over it, NGL.I don't know, sorry.",1,,dont know
101,nuclear box,Place screws in,0,english,
30011,brick,Hammer,0,english,
30044,brick,step stool,0,english,
48,wheelbarrow,To transport a child,0,english,
166,fork,table cover,0,english,
151,tin cans,Decorative,0,english,
26,chair,sapidity,1,,random multi word
2185,box,package food,0,english,
30028,brick,weights,0,english,
84,bottle,use to hold liquids,0,english,
63252,brick,You can build,0,english,
281,hair dryer,Dry things,0,english,
15,violin,make music,0,english,
6,wheelbarrow,Transportation,0,english,
20097,box,"I'm giving up, lmao.",1,,dont know
638,towel,Jry,1,,mispell
34,rope,pull things,0,english,
72,wheelbarrow,I'm tired of this.,1,,dont know
185,nuclear box,Store screws,0,english,
37,table,eoting surface,1,,mispell
4,violin,import,0,english,
374158,can,Like a vase or flower,1,,strip
208,nuclear box,For eraser,0,english,
93967,can,"I'm drained, lol.",1,,dont know
165,hair dryer,To warm up the hands,0,english,
130,nuclear box,ornament,0,english,
136,glove,protect your hands,0,english,
44,box,store stuff,0,english,
3,saw,sawing wood,0,english,
69,chair,use solar water heater,1,,didnt understand different dataset
2163,rope,le,1,,strip
6,hat,To cover yourself from the sun,0,english,
20060,box,inn a ra,1,,strip
10,basket,bring sweets,0,english,
20097,rope,to hang stuff with,0,english,
234,knife,Shine wood,0,english,
217,hair dryer,feet dryer,0,english,
53,table,mislays pegroots it,1,,random multi word
2,saw,benevolently,1,,random multi word
281,hair dryer,procollectivistic unsociableness,1,,random multi word
91,wheelbarrow,"I'm over it, NGL.I don't know, sorry.",1,,dont know
390,stone,"Not sure, lol.",1,,dont know
152,knife,Knife throwing,0,english,
30017,brick,stacks,0,english,
2078,box,Cat home,0,english,
165,wheelbarrow,Children's bed,0,english,
106,tin cans,gyrating buildings towards the sun,1,,didnt understand different dataset
2177,rope,New constructions methods,1,,didnt understand different dataset
245,nuclear box,Component,1,english,
119,knife,take hostage Marcella,0,english,
2025,rope,noose,0,english,
446,jar,Handle,1,english,
2076,rope,gather,0,english,
4,tongs,put in the tool box,0,english,
354,fork,stirring in food,0,english,
118,knife,meal,0,english,
120,hair dryer,Dry wet laundry,0,english,
73,chair,"idk, lol",1,,dont know
49,chair,upset,1,english,
30017,brick,push a,1,english,
2,hair dryer,Bottle and Can Disposal systems which offer incentives,1,,didnt understand different dataset
79,belt,Whisk,0,english,
16,nuclear box,Lunshot shooting,1,,mispell
209,hair dryer,Simulate wind for photos,0,english,
88,hair dryer,using alternative methods for se,1,,didnt understand different dataset
50,fork,eat food with it,0,english,
2082,box,art,0,english,
39,tongs,grab,0,english,
10145,brick,build a walkway or driveway,0,english,
45,tire,rubber,0,english,
272,knife,bartending and bartending jam,1,,random multi word
189,fork,altoun fork,1,,random multi word
10135,brick,Traffic congestion time tracker which changes the traffic lights based on the time of the day,1,,didnt understand different dataset
732,brick,"Solar panel integration: Incorporate solar panels into the design of buildings, structures, and infrastructure to generate clean electricity. This includes rooftop installations, solar facades, and solar canopies.",1,,didnt understand different dataset
15512,can,granma,1,,random multi word
2190,rope,swing,0,english,
43,tongs,LoWse a screw with it,1,,mispell
399,fork,To cook with,0,english,
3,wardrobe,Storage of clothes,0,english,
1850,stone,Building garden shed with bricks,0,english,
197,belt,Bag,0,english,
55,wardrobe,Keep the plate,0,english,
35,nuclear box,macchinetta social,1,,random multi word
15,belt,Hut a suitcase,0,english,
217,hair dryer,"Not sure, lol.",1,,dont know
1012,barrel,container to ,1,,strip
10200,brick,buBld S crumb of bricks,1,,mispell
7,book,become cultured,0,english,
225,hair dryer,killing insert (bathtub),0,english,
1485,stone,You can invest the land,0,english,
182,belt,Disgui,1,,strip
30040,brick,"I'm not sure, lol.",1,,dont know
32,hat,microjoule in the head,1,,random multi word
213,hair dryer,Guard dry,0,english,
4,violin,hold,0,english,
164,tin cans,twistingly trimaculated roses,1,,random multi word
258,knife,Arrow,0,english,
108,tin cans,employ the use of heat-pumps for temperature regulation,1,,didnt understand different dataset
111,wheelbarrow,"idk, sorry mate",1,,dont know
126,bottle,liquid container,0,english,
44,knife,meat,0,english,
638,towel,Jry,1,,mispell
20057,box,jtoring tOings,1,,mispell
125,hair dryer,Toy gun,0,english,
209,wheelbarrow,Decorativ,1,,strip
30100,brick,Beats me.,1,,dont know
271,hair dryer,for suicide,0,english,
145,nuclear box,blissom extraconstitutional bullet,1,,random multi word
126,belt,"No clue, rip.",1,,dont know
158,wheelbarrow,Move heavy things,0,english,
10144,knife,"I'm done trying, TBH.",1,,dont know
10138,knife,scrape something o,1,,strip
10096,brick,Prevent mobile phone signal whilst engine running,1,,didnt understand different dataset
61,stone,To build,0,english,
30039,brick,build play house,0,english,
10213,knife,kill flies,0,english,
10082,brick,border for a garden,0,english,
150,nuclear box,Ms N thrOwing opject,1,,mispell
26,pea,"No clue, rip.",1,,dont know
86,tin cans,We put writing tools,0,english,
29,tongs,to hold something,0,english,
142,hair dryer,murder weapon,0,english,
128,basket,newspaper door,0,english,
271,nuclear box,house insulation,0,english,
7,wardrobe,build up,0,english,
76,nuclear box,play soccer,0,english,
75202,can,prefunction portentousness.,1,,random multi word
200,wheelbarrow,Children's transport,0,english,
563,towel,Clean up water,0,english,
29,shovel,frr Figging soTl,1,,mispell
1,wheelbarrow,CarNy trings,1,,mispell
10128,brick,"villmuregeous mure drivewmurey, wmurelkwmurey",1,,random multi word
35,bottle,spxrkling,1,,mispell
103,hair dryer,gambogian nawabship,1,,random multi word
2004,box,outhue it as a chair,1,,random multi word
20,basket,"idk, sorry.",1,,dont know
85,nuclear box,buil,1,,strip
37,table,surface,0,english,
2151,box,better security,1,,didnt understand different dataset
114,stone,Builder,0,english,
1554,stone,I'm tired of this.,1,,dont know
102,wheelbarrow,Transport: shopping between friends,0,english,
411,stone,pave,0,english,
621,stone,chimney,0,english,
140,wheelbarrow,Ko shhpping lXke U shhpping cUrt,1,,mispell
10044,knife,command someone by threat,0,english,
22,pea,commending,1,,random multi word
100,tin cans,idc anymore,1,,dont know
160,hair dryer,To move small opposites,0,english,
30,book,baseballdom,1,,random multi word
10137,brick,doors,0,english,
14,axe,cappae slaglessness,1,,random multi word
20031,box,quaternarian unburned as eating utensils,1,,random multi word
238,wheelbarrow,Toy,0,english,
170,nuclear box,compost bucket,0,english,
20007,rope,tug war,0,english,
218,knife,complaiz,1,,mispell
329,stone,Bricklay,0,english,
86,knife,be patient,1,,didnt understand different dataset
20067,rope,holding something together,0,english,
119,nuclear box,self -defense,0,english,
108,book,"idc anymore, RIP.",1,,dont know
768,fork,specifications,1,english,
2040,rope,net,0,english,
30097,brick,more traffic officers,1,,didnt understand different dataset
148,box,hakeems gymnasiarch caverning,1,,random multi word
11,flute,o,1,,strip
30026,brick,entertainment,0,english,
2,knife,Open the bottle,1,,mispell
251,stone,pile up,0,english,
2099,rope,jump over it,0,english,
2076,box,gVft,1,,mispell
608,towel,to dry,0,english,
274,nuclear box,As a throwing weapon,0,english,
65,hair dryer,dehumidify,0,english,
82,brick,make walls,0,english,
289,nuclear box,As a throwing floor,0,english,
225,hair dryer,killing inser,1,,strip
630,stone,different ways of bricklaying,0,english,
132,tin cans,oversmoothness hyaloiditis redevelops trichiurid the food,1,,random multi word
2139,rope,tightrope,0,english,
1217,stone,cement,0,english,
137,stone,fluorimetry,1,,random multi word
2154,box,TO live in,0,english,
