ID,prompt,response,label,lang
39,tongs,grab,0,english
158,wheelbarrow,Move heavy things,0,english
249,hair dryer,Blow unpleasant smells,0,english
30113,brick,a can be used as a door stopper,0,english
73,hair dryer,Suicide - bathtub,0,english
1799,stone,ground,1,english
35,knife,engrave,0,english
57,nuclear box,throw,0,english
533,brick,To cook pizzas,0,english
52,tire,for the touer,1,english
97,nuclear box,collective tank,0,english
6,glove,for goalkeepers when they have to parry,0,english
2057,box,shelter,0,english
163,nuclear box,As a jewelry container,0,english
1217,stone,street worker,0,english
88,hair dryer,Drying fingers nails,0,english
30026,brick,entertainment,0,english
2076,box,idea,1,english
114,box,storing objects,0,english
10148,knife,scrape up gum,0,english
10,knife,cut cold cuts,0,english
30046,brick,hold open a door,0,english
47,nuclear box,color,0,english
114,knife,high precision Japanese knife,1,english
105,bottle,Energy drinks container,0,english
80,belt,Use as an accessory,0,english
159,hair dryer,"make ""suicide"" look",0,english
399,fork,To cook with,0,english
2019,rope,decoration,0,english
162,belt,rope to attach stuff,0,english
119,tin cans,Pens and colors,0,english
222,wheelbarrow,Cart,0,english
208,nuclear box,For eraser,0,english
230,fork,to eat,0,english
127,wheelbarrow,To relocate,0,english
555941,brick,"to break the teeth,",0,english
10204,knife,draw in the dirt,0,english
30107,brick,paving stone,0,english
732,brick,a house,0,english
10082,brick,roads,0,english
10225,knife,kill a fish,0,english
26,chair,relax,0,english
330,stone,apartment,1,english
234,nuclear box,Rocket,0,english
10126,knife,harm,0,english
555941,can,"as a container for objects,",0,english
29,chair,tip over,0,english
23,brick,to build something,0,english
9,knife,cut meat or vegetables,0,english
58,stone,Pawn,0,english
123,nuclear box,to collect,0,english
10115,knife,cut your food at dinner/any meal,0,english
133,wheelbarrow,Racing cart,0,english
2061,rope,hair tie,0,english
27,trumpet,blow,0,english
24,tongs,open and close,0,english
14,axe,built something,0,english
245,nuclear box,Component,1,english
264,nuclear box,craft,0,english
2031,box,House/Living,0,english
101,stone,Building a house,0,english
4,stone,Slack,0,english
22,table,buy,0,english
329,stone,Bricklay,0,english
10156,brick,buildings,0,english
163,nuclear box,As a saucepan,0,english
18,chair,sit,0,english
80,wheelbarrow,Use it as a shopping shopping,0,english
54,hair dryer,Dry clothes,0,english
112,nuclear box,for crafting,0,english
86,knife,socialize,0,english
126,nuclear box,kiken,1,english
60000,brick,When fighting on the side,0,english
239,wheelbarrow,Carry animal people,0,english
33,chair,play with it,0,english
30052,brick,clubhouse,0,english
287,nuclear box,tennis,0,english
81,book,reading,0,english
30099,brick,can destroy someone's car,0,english
10,violin,Create notes,0,english
501,stone,flat,1,english
1177,stone,stone,1,english
638,towel,Dry,0,english
20684,can,Jaku Mug,1,english
10179,knife,a utensil to eat with,0,english
30039,brick,build play house,0,english
253,nuclear box,rattle,0,english
2015,box,bed,0,english
1530,stone,building a church,0,english
2099,rope,jump over it,0,english
83,rope,tie things,0,english
36376,can,to hide something,0,english
54819,can,to the drink,0,english
16,nuclear box,Gunshot shooting,0,english
9,paprika,Eat raw#,0,english
30120,brick,Emergency brake for your car,0,english
19,hair dryer,throw into the bathtub,0,english
140,tin cans,Put the trash with it,0,english
50,paprika,put in the fridge,1,english
30052,brick,door stopper,0,english
1764EIMÃ„152,rope,Dog on a leash,0,english
30016,brick,to smash things,0,english
77,wheelbarrow,Wheelbarrow,0,english
30017,brick,push a,1,english
153,tin cans,Used to drink drinks,0,english
37,pea,cook,0,english
20136,box,to put things in,0,english
150,nuclear box,As a throwing object,0,english
80,table,h,1,english
148,nuclear box,For the target throw,0,english
30123,brick,hunting tool.,0,english
30115,brick,paper weight,0,english
2153,rope,lever to pull/load things,0,english
106,tin cans,Save some foods,0,english
125,knife,Throw in,0,english
44,nuclear box,jewelry,0,english
10027,knife,eat with,0,english
10078,brick,block for a building,0,english
217,hair dryer,feet dryer,0,english
108,knife,use as a weapon,0,english
84,bottle,use to hold liquids,0,english
287,nuclear box,Crafts the figure,0,english
19,drum,Make a noise,0,english
117,tin cans,Save sewing tools,0,english
175,wheelbarrow,Child transport,0,english
1856,stone,build houses,0,english
298,hair dryer,For cold,0,english
2002,box,cage,0,english
126,fork,jabs,0,english
2,knife,Open the bottle,0,english
30052,brick,gate,0,english
2151,box,dog house,0,english
30107,brick,door prop,0,english
55,tongs,Squeeze things together,0,english
2076,rope,gather,0,english
41,tongs,cut off,0,english
234,knife,Shine wood,0,english
12,bed,sofa,0,english
30059,brick,add extra weight to an object,0,english
49,saw,sell,0,english
8,brick,chimneys,0,english
185,wheelbarrow,Caddy,0,english
1214,stone,brick stairs,0,english
2789,hat,Sun,0,english
638,brick,Build pyroses and figures,0,english
404,jar,Pen holder,0,english
29,table,sit around the table,0,english
35,lighter,warm,0,english
2033,box,jump on it,0,english
6,nuclear box,Office utensil,0,english
22,bed,lay,0,english
77,fork,utensil,0,english
30042,brick,fighting weapon,0,english
65,hair dryer,dehumidify,0,english
52,drum,play in a band,0,english
157,tin cans,Making some accessories,0,english
20155,rope,to play tug a war,0,english
143,brick,dance,0,english
30068,brick,to break glass,0,english
176,wheelbarrow,flower pot,0,english
204,nuclear box,to play,0,english
4,axe,put down,1,english
6,drum,use,1,english
19,belt,Make books together,0,english
93967,can,tin,0,english
23,brick,walls or walls,0,english
35,tongs,unpacking,0,english
190,nuclear box,throwing floor,0,english
172,belt,Pants,0,english
107,jar,Pen holder,0,english
1035,chair,Sit,0,english
6,drum,sell,0,english
85,stone,Pile up,0,english
96,stone,A house,0,english
1,table,write on,0,english
219,nuclear box,Collective tank,0,english
234,hair dryer,dry socks,0,english
170,nuclear box,compost bucket,0,english
185,wheelbarrow,Book races,0,english
2160,rope,I can make a swing,0,english
46,paprika,to make a salad,0,english
1217,stone,rock,1,english
122,belt,To use it,1,english
274,knife,Open the filled glasses,0,english
10158,knife,stabbing,0,english
61,stone,To build,0,english
131515,can,It can be used as a flower vase,0,english
272,knife,open and open jam,0,english
69,chair,furniture factory,0,english
97,nuclear box,Crafts the musical instrument,0,english
1217,stone,cement,0,english
6,box,use it for storage,0,english
394976,can,As a pot.,0,english
249,knife,sound instrument,0,english
409,fork,to cook,0,english
34,trumpet,trumpet,1,english
134,box,moving,0,english
102,tin cans,Use it in the kitchen,0,english
76,nuclear box,play soccer,0,english
268,wheelbarrow,Transport the earth of the hay of the cement stone of,0,english
24,axe,Fell trees,0,english
223,nuclear box,Give cat lekerlis,1,english
1012,barrel,wine container,0,english
77,knife,Garden circumcision,0,english
2084,rope,using it as a belt,0,english
79,belt,Whisk,0,english
9,paprika,use as a salad insert,0,english
6,hat,To cover yourself from the sun,0,english
118,belt,Rope,0,english
166,nuclear box,wall decoration,0,english
37,table,surface,0,english
2169,box,building a fort,0,english
9,basket,fruit,0,english
390,stone,school,0,english
100,nuclear box,cooking pot,0,english
339847,brick,for masonry,0,english
11,trumpet,let,1,english
183,hair dryer,pistol dummy,1,english
30045,brick,paperweight,0,english
49,axe,to cut a tree,0,english
81,wheelbarrow,Go shopping,0,english
38,nuclear box,Pencil,0,english
173,box,store cloths,0,english
10059,brick,weight (for holding light materials down),0,english
484,fork,eating utly,0,english
615,fork,To bring food to your mouth without making your hands dirty,0,english
17,wardrobe,For clothing cuffs,0,english
404305,can,on the ashtray,0,english
39,bed,lay,0,english
85,knife,open door,0,english
114,knife,knife to cut food,0,english
80,tire,car,0,english
30011,brick,Door stop,0,english
1398,stone,path,0,english
10135,brick,to build a wall,0,english
9,lighter,turn on a stove or candle,0,english
30129,brick,use it to break things,0,english
48,wheelbarrow,To transport a child,0,english
44,knife,cut hair,0,english
165,nuclear box,Empty as a replacement for a bowl,0,english
60000,brick,To pull one with him.,0,english
160,stone,buildings,0,english
265,nuclear box,promotion,0,english
56,knife,tool,0,english
30122,brick,A door stopper,0,english
11,tongs,hold onto,0,english
283,nuclear box,Bureaucracy,1,english
217,wheelbarrow,Sleep there,0,english
1049,book,browse,0,english
46,paprika,Eat,0,english
15,paprika,eat,0,english
196,fork,specifications,1,english
44,bed,cuddle,0,english
21,hair dryer,Dry plaster,0,english
2151,box,food storage,0,english
24,nuclear box,tower,0,english
35,nuclear box,Candle holder,0,english
48,nuclear box,litter,1,english
101342,brick,For building a house,0,english
148,belt,Dress,0,english
347,stone,ruin,0,english
101,nuclear box,draw on the circle,0,english
265,knife,scratch in wood,0,english
4,axe,lift,0,english
1060,book,reading,0,english
20018,box,Box for a computer,0,english
10206,knife,you can use a knife for a weapon,0,english
105,tin cans,Domain,1,english
2171,rope,tying stuff,0,english
185,hair dryer,drum,0,english
108,tin cans,Save grains at home,0,english
4,nuclear box,weapon,0,english
235,stone,For a street,0,english
10040,brick,to make steps,0,english
2171,rope,jump,0,english
228,hair dryer,dresses,1,english
1067,coat hangers,hang ties,0,english
30092,brick,houses,0,english
14,stone,build a road,0,english
80,tin cans,Establish old things we no longer use,0,english
102,wheelbarrow,Transport: shopping between friends,0,english
10001,knife,fishing,0,english
284,hair dryer,To dry damp diapers,0,english
10125,knife,as a kitchen implement in cooking activities,0,english
20,belt,dress,0,english
24,tire,for a car,0,english
10,wardrobe,put things on it,0,english
90,box,open,0,english
10177,knife,cut yourself,0,english
20098,rope,the rush rock climbing wall,0,english
23,stone,As a wall,0,english
10018,brick,churches,0,english
20130,box,to put fruit in,0,english
340841,can,to almost everything,1,english
2126,box,Stepping stool,0,english
118,glove,Don't get your hand dirty,0,english
54,flute,cleaning,0,english
383530,brick,as a weapon,0,english
33,trumpet,blow in,0,english
445862,can,ASHTRAY,0,english
118,bottle,pink,1,english
106,nuclear box,kick,0,english
145,hair dryer,murder,0,english
10,brick,used for building house,0,english
230,belt,Climb pants,0,english
380,fork,poke someone,0,english
2123,box,sled,0,english
479,towel,to dry off,0,english
20098,box,retards,1,english
10150,brick,making houses,0,english
30083,brick,Paperweight,0,english
40,paprika,cut into a salad,0,english
10095,knife,culinary uses,0,english
108,lighter,Turn on cigarettes,0,english
24,paprika,quarter,1,english
30127,brick,carry it as a weapon,0,english
10194,brick,sink it in water,0,english
44,flute,stow,0,english
20050,rope,tie someone up with,0,english
2184,box,A game,0,english
385609,can,piggy bank,0,english
72,wheelbarrow,Flowerpot,0,english
2026,rope,to tie to a tree,0,english
170,fork,Jabs,0,english
1035,book,instruct,0,english
2152,box,dog cage,0,english
23,tire,to move a vehichle,0,english
205,belt,To squeeze,0,english
68,hair dryer,keep warm,0,english
30011,brick,Hammer,0,english
671,towel,Dry -off plates,0,english
563,towel,dry yourself,0,english
7,wardrobe,build up,0,english
374,stone,You can build with it,0,english
1545,stone,wall up,0,english
99,belt,link,0,english
20134,rope,holding things down,0,english
88,nuclear box,speech,0,english
20098,rope,cattle,0,english
10081,brick,door holder,0,english
108,tin cans,Pencil case,0,english
2,hair dryer,Simulate the wind,0,english
30017,brick,use a to sit on,0,english
270,nuclear box,plant pot,0,english
6,nuclear box,Pin box,0,english
64,hair dryer,heat up,0,english
101342,brick,For the construction of the fence,0,english
247,knife,to throw in knife,0,english
2139,rope,tightrope,0,english
618,brick,bake,0,english
20067,rope,holding something together,0,english
20135,box,bin,0,english
227,nuclear box,As a toy for children -> Tower Baun,0,english
10058,brick,sidewalks,0,english
163,hair dryer,keep your feet warm,0,english
26,bottle,carry water,0,english
2099,rope,lasso something,0,english
30,stone,move,0,english
564679,can,"as a utility item,",0,english
30015,brick,basis of a house foundation,0,english
2047,box,learning,0,english
13,wheelbarrow,Transport of people,0,english
368206,can,piggy bank,0,english
30025,brick,building a dog house,0,english
40,fork,can eat noodles,0,english
85,nuclear box,collect garbage,0,english
528,stone,Building material,0,english
142,nuclear box,make a phone call,0,english
2051,box,home for a vagabond,0,english
10,brick,build a gate,0,english
86,tin cans,Do the door,1,english
479347,brick,"for masonry,",0,english
30015,brick,step latter,0,english
1069,barrel,drink container,0,english
49,flute,wrap up,1,english
10144,knife,peel an orange,0,english
152,knife,Knife throwing,0,english
166,knife,door opener,0,english
128,lighter,turn on stove if there is little quantity of gas,0,english
152,tin cans,Home decoration,0,english
2175,box,head  car  dog  wheels,1,english
1143,stone,Mexican wall,0,english
212,stone,build things,0,english
24,nuclear box,Put the pencils in,0,english
30014,brick,door stop,0,english
311,jar,Pen holder,0,english
2033,rope,use it to hold up your pants,0,english
25933,can,put in the flowers,0,english
30040,brick,make a door stopper,0,english
10086,brick,brick oven,0,english
171,tin cans,Quotation,1,english
30025,brick,building a wall,0,english
595,brick,Buy cement,0,english
42,table,seating,0,english
187,wheelbarrow,Push,0,english
30088,brick,build a mansion,0,english
34,rope,pull things,0,english
1,hair dryer,Dry color,0,english
45,nuclear box,drinking vessel,0,english
20154,rope,Play tug of war,0,english
2082,box,art,0,english
16,knife,pattern,1,english
30103,brick,construct stairs,0,english
161,box,store kids toys inside of it,0,english
30068,brick,elevation of something,0,english
132,tin cans,Use it in bathrooms and kitchens,0,english
2030,rope,tie it and pull things around with,0,english
66,knife,scratch in,0,english
450825,can,to make a pot,0,english
209,wheelbarrow,Decorative object,0,english
10145,brick,build a walkway or driveway,0,english
86,hair dryer,Dis your car plate,1,english
20021,rope,save a life,0,english
19,pea,soup,0,english
1007,chair,mobile,0,english
30027,brick,fighting utensil,0,english
30051,brick,To set up a campfire,0,english
1214,stone,brick wall,0,english
52,table,clean up,0,english
30133,brick,trap,0,english
219,nuclear box,Drinking glass,0,english
729,fork,spaghetti apart,0,english
59,nuclear box,character aid,1,english
10102,knife,kill someone,0,english
194,fork,To puncture something,0,english
35,table,food,0,english
103,hair dryer,Dry clothes,0,english
538647,can,container,0,english
144,hair dryer,Warm the glue,0,english
301,stone,construction workers,0,english
84,hair dryer,Instead of the towel,0,english
85,wheelbarrow,Bin,0,english
15,pea,buy on the market,0,english
102,tin cans,Use it in food,0,english
152,nuclear box,Store murmur,1,english
458715,brick,"thrown weapon,",0,english
729,fork,egg,0,english
30036,brick,you can use it to build a house,0,english
160,tin cans,Drinking bottles,0,english
29,shovel,for digging soil,0,english
87,knife,cut the meat,0,english
222,knife,stir,0,english
1842,stone,build a hut,0,english
282,belt,Whisk,0,english
2104,box,Fort,0,english
107,wheelbarrow,Carry things,0,english
44,bed,Napkin make3n,1,english
1163,stone,To build,0,english
2146,box,seat,0,english
34,wardrobe,grant,1,english
115,tin cans,Use it in agriculture,0,english
50,chair,move away,0,english
1281,stone,away,1,english
39,hair dryer,Dry nail polish,0,english
10139,brick,building playhouse in backyard,0,english
253,hair dryer,Bracelet,0,english
28,shovel,use it as a tool to dig a hole,0,english
220,brick,Bardes,1,english
55,wardrobe,Keep clothes,0,english
339220,can,flower vase,0,english
1027,barrel,Fill with homemade liqueur,0,english
18,flute,carry,0,english
146,nuclear box,Vase,0,english
289,nuclear box,As a throwing floor,0,english
120,hair dryer,Dry glue,0,english
148,knife,As a letter complaint,0,english
77,tin cans,Storage,0,english
7,bed,relate,1,english
6,saw,hanging,0,english
1850,stone,Building garden shed with bricks,0,english
65,stone,cafe brick,0,english
663,stone,bricklay,0,english
23,stone,Wall for a house,0,english
30,stone,break,0,english
32,nuclear box,As pins for bowling,0,english
6,wardrobe,rumble,0,english
60,hair dryer,Warm the body,0,english
114,knife,Transmitted knife,1,english
686,towel,to hang,0,english
290,nuclear box,to make,1,english
92,hair dryer,Dry the clothing,0,english
160,wheelbarrow,Go shopping with,0,english
61,table,eating,0,english
14,flute,Pipes,0,english
122,wheelbarrow,Speed â€‹â€‹up,1,english
96,coat hangers,as hanging also because it serves that,0,english
598277,brick,for construction/home,0,english
86,tire,accident,1,english
37,saw,saw,0,english
20031,box,accessories,0,english
342355,brick,Generally for construction,0,english
11,book,write,0,english
2158,rope,a necklace,0,english
18,stone,Break,0,english
2003,box,Shipping tool,0,english
50,fork,eat food with it,0,english
507,brick,a wall,0,english
194,stone,To Build a house,0,english
80,belt,Make a handbag handle with,0,english
189,fork,pie fork,0,english
30046,brick,wedge under a tire of a car parked on a hill to keep it from rolling,0,english
10097,brick,build to make steps,0,english
128,basket,newspaper door,0,english
210,belt,Necklace,0,english
2059,rope,tightrope,0,english
10096,brick,"a walkway, or patio",0,english
194,nuclear box,As a glass for drinks,0,english
71,bottle,hold liquid,0,english
30047,brick,to build a house,0,english
64,stone,Shout,0,english
281,nuclear box,jam,0,english
116,nuclear box,litter game,0,english
332,stone,dike,0,english
218,knife,complain,0,english
271,nuclear box,house insulation,0,english
41,bed,TV,1,english
578686,brick,tool of the murder,0,english
107,nuclear box,ball,0,english
114,stone,Building,0,english
263,belt,pants,0,english
182,belt,Disguise,0,english
20,stone,Smash,0,english
10198,brick,steps,0,english
10102,knife,filet a fish,0,english
2025,rope,noose,0,english
234,nuclear box,collect worms,0,english
2152,rope,a belt,0,english
286,nuclear box,drum,0,english
274,nuclear box,As a throwing weapon,0,english
450846,brick,get tired,1,english
235,belt,Bag shoulder,0,english
14,flute,blow in,0,english
269,hair dryer,Warm the apartment,0,english
33,hair dryer,when you are cold => warming up,0,english
44,box,store stuff,0,english
253,knife,pike,1,english
519724,brick,"To kill someone, damage",0,english
10204,knife,cut someone,0,english
136,bottle,fill it with liquids,0,english
86,tin cans,We put writing tools,0,english
65,wheelbarrow,moving means,0,english
60928,can,mug,0,english
30,coat hangers,Appendipantaloni,0,english
88,nuclear box,Submit consolidnoses,1,english
1218,stone,gateway,0,english
20097,rope,tug of war,0,english
107,hair dryer,Try nail polish,0,english
30132,brick,could use it as a dumbbell and workout with it,0,english
102,box,storage,0,english
165,wheelbarrow,Children's bed,0,english
11,flute,Whistle,0,english
547765,brick,to build something,0,english
100,tin cans,flower vase,0,english
171,nuclear box,button,0,english
296,knife,Canceling locks,0,english
595805,brick,Build,0,english
193,hair dryer,ventilator,0,english
31,stone,Breaking through,0,english
20031,box,using pencils as eating utensils,1,english
387,stone,strain,0,english
40,tongs,clear in a tool case,1,english
120,knife,knife throwing,0,english
2084,rope,shoe lace,0,english
145,nuclear box,As a bullet,0,english
234,wheelbarrow,Carry children,0,english
22,tongs,get out,1,english
14,flute,Whistle,0,english
126,wheelbarrow,As a shopping cart for shopping,0,english
55,paprika,fry,0,english
20136,box,wrap it in wrapping paper,0,english
1488,stone,pavement,0,english
386,stone,street,0,english
2117,box,collectable items,0,english
236,nuclear box,headgear,0,english
45,tire,rubber,0,english
91,fork,dinner,0,english
36,stone,building,0,english
114,hat,Vestiar article,1,english
30006,brick,put together to build something,0,english
119,brick,walls or walls,0,english
10097,knife,army uses,0,english
206,stone,Masonry*,0,english
145,belt,tournier,1,english
225,hair dryer,killing insert (bathtub),0,english
39,basket,put dirty clothes,0,english
224,wheelbarrow,Make shopping one in one that pushes,0,english
6,drum,hit,0,english
267,nuclear box,support,0,english
294,nuclear box,Use as a ballpoint pen holder,0,english
20012,box,organizer,0,english
43,tire,make a car move,0,english
2027,rope,can be used as a climbing tool example when climbing tree,0,english
10,nuclear box,Vase,0,english
144,hair dryer,Warm your feet,0,english
53,table,tinker on it,0,english
238,nuclear box,Craft,0,english
66,box,putting things inside,0,english
103,barrel,oil,0,english
246,wheelbarrow,Garden,0,english
228,stone,build a city,0,english
54,paprika,puree,0,english
117,tin cans,Save foods,0,english
312,stone,Lay the street,0,english
30006,brick,list more creative ideas of how to use a then I am on this computer,1,english
10,hat,accessory,0,english
315,stone,building material,0,english
129,wheelbarrow,Carry water,0,english
65,hair dryer,Play (pistol children),0,english
30078,brick,making a oven,0,english
6,knife,To defend themselves from attacker,0,english
229,wheelbarrow,Gardener,0,english
182,wheelbarrow,Bed,0,english
128,wheelbarrow,Transportation,0,english
20,trumpet,accompany,0,english
117,stone,mason,0,english
199,wheelbarrow,Works,1,english
130,nuclear box,ornament,0,english
2091,rope,you can use a   as a belt to hold your pants up,0,english
90,belt,Use it as a leash,0,english
1631,stone,build the office,0,english
77,tin cans,Collecting children's toys in it,0,english
119,knife,take hostage Marcella,0,english
352495,brick,House,0,english
20097,rope,to hang stuff with,0,english
20063,rope,tie something to the top of a car,0,english
52,table,sit on,0,english
6,wheelbarrow,Transportation,0,english
61,shovel,digging,0,english
77,shovel,dirt mover,0,english
224,hair dryer,as a murder instrument,0,english
2072,box,Art,0,english
281,hair dryer,Dry things,0,english
1488,can,On the ashtray.,0,english
54,shovel,dig out flowers,0,english
2096,rope,hand cuffs,0,english
100,stone,post -build,0,english
267,nuclear box,Mixing tank,0,english
93,hair dryer,Suicide,0,english
3,saw,sawing wood,0,english
2122,box,chair,0,english
473209,brick,Construction,0,english
35,book,gain knowledge,0,english
30067,brick,building towers,0,english
509,towel,dry*,0,english
1234,stone,Bricklay,0,english
65,knife,To cut food,0,english
118,knife,meal,0,english
20157,rope,tug a war,0,english
1018,coat hangers,in macchina to hang the jackets,0,english
2183,box,stool,0,english
164,wheelbarrow,Agricultural machine,0,english
49,nuclear box,Glide and keep something in it,0,english
31,tin cans,Using it is a blackboard,0,english
6,book,To increase one's culture,0,english
1485,stone,You can invest the land,0,english
259,hair dryer,Warm clothes,0,english
1278,stone,fence,0,english
21,hair dryer,dry wet robe,0,english
134538,can,as a container,0,english
2177,rope,pet leash,0,english
240,belt,Make a tourniquet,0,english
2,hair dryer,dry trousers dry,0,english
30093,brick,you can use a as a hammer,0,english
21,wheelbarrow,Stroller,0,english
10177,knife,cut food,0,english
10061,knife,knife to cut animal or human when they need to,0,english
20140,rope,jump,0,english
10200,brick,build a clumb of bricks,0,english
35,basket,carrier,0,english
2052,box,Step Stool,0,english
138,nuclear box,Keep buttons,0,english
670,brick,A fence,0,english
55,stone,Strain,0,english
10058,brick,patios,0,english
30102,brick,use as a lifting weight,0,english
10,basket,bring sweets,0,english
135,hair dryer,To dry the ears,0,english
156,wheelbarrow,Use it as a stroller,0,english
30120,brick,Use it as a paper weight,0,english
77,bottle,baby bottle,0,english
468,fork,use to puncture something,0,english
36,stone,housing,0,english
58,hair dryer,Wind machine,0,english
101,nuclear box,Place screws in,0,english
98,nuclear box,Raw material,0,english
23,bed,You can set up your bedroom with a bed,0,english
84,knife,knife throwing,0,english
621,can,cans as a ashtray,0,english
56,box,storage boxes,0,english
2184,rope,tie things from cars,0,english
553,brick,home,0,english
2005,rope,tie things up,0,english
5,bed,read,0,english
6,tire,wheel,0,english
51,stone,throw through the window,0,english
11,trumpet,try,1,english
29,tongs,to hold something,0,english
627,brick,"Build houses, buildings",0,english
2062,rope,make a tire swing,0,english
65,coat hangers,coat hangers,1,english
86,bottle,The glass of a bottle,1,english
531,brick,Wall,0,english
273,nuclear box,as a game - refused shooting stalls,0,english
10142,brick,trim around homes,0,english
64,fork,eating,0,english
261,knife,Remove dirt,0,english
630,stone,different ways of bricklaying,0,english
357,fork,jabs,0,english
148,tin cans,Cosmetics put it,0,english
11,coat hangers,To hang clothes in the closet,0,english
30133,brick,breaking and entering,0,english
131,stone,Wall up,0,english
1631,knife,Cut with him,0,english
35,tire,bike,0,english
115,nuclear box,cord,1,english
1020,barrel,aging,0,english
7,wheelbarrow,Displacement,0,english
10161,knife,hunting,0,english
40,trumpet,clean,0,english
77,tire,rubber circle,0,english
2054,rope,whip,0,english
137,stone,stern,1,english
20007,rope,tug war,0,english
211,fork,peck somewhere,0,english
137,tin cans,Pens,0,english
132,tin cans,Use it to heat the food,0,english
63,brick,Bardes,1,english
648,stone,bricklay,0,english
12,rope,to tie a knot,0,english
30015,brick,steps,0,english
118,tire,puncture,0,english
12,belt,Bag,0,english
210,nuclear box,For crafting,0,english
10,bicycle,go around,0,english
2183,box,table stand,0,english
33,nuclear box,craft,0,english
205,nuclear box,Target exercise,0,english
747,fork,join for dinner,0,english
20051,rope,tie a box onto the top of the car,0,english
48,stone,Street,0,english
31,nuclear box,PHONE,1,english
329,fork,To eat,0,english
80,shovel,dig soil,0,english
84,shovel,use to dig a hole,0,english
51,table,sit on,0,english
10080,knife,"cutting items ex. food, boxes",0,english
1194,stone,barn,0,english
289,fork,Kloten with Baptists,1,english
15512,can,ashtray,0,english
363,fork,Turning spaghetti,0,english
20098,rope,get me out of here,1,english
153,tin cans,Performing personal tools,0,english
140,wheelbarrow,scour,1,english
347186,brick,"- construction of a wall,",0,english
72,shovel,shoveling dirt,0,english
258,hair dryer,Murder weapon,0,english
416,stone,Wall (outside),0,english
255,nuclear box,cookie cutter,0,english
1701,stone,driveway,0,english
